uuid,stop,platform,line,direction,scheduled_departure,real_departure,delay_min,connection_exists
62840f88-a61c-5303-b271-895128c15600,MG Hbf /Europaplatz,4,017,Hilderather Str.,17:43,17:45,2.0,True
5bc8e4ca-f025-5c05-959c-58a5c8cc2c21,MG Hbf /Europaplatz,10,SB1,MG Regiopark 3,17:44,17:48,4.0,True
5d93afca-2174-5c4f-8e86-7c4a54a22154,MG Hbf /Europaplatz,7,009,Viersen Wegweiser,17:44,17:55,11.0,True
3c12e92a-7d36-5f59-8ac8-64542a6be8fc,MG Hbf /Europaplatz,6,031,Korschenbroich Liedberg Kirche,17:45,17:45,0.0,True
1f9995c0-d033-51d5-8b13-5a38959f995a,MG Hbf /Europaplatz,Bst.10,089,Dülken Dürerstraße,17:45,,,True
6ef2c78e-b0fe-5f06-b75e-070a70349b37,MG Hbf /Europaplatz,8,RE13,Wuppertal Hbf,17:45,17:45,0.0,True
4b880f0c-ac67-53c2-a3e7-6a59d5a7f378,MG Hbf /Europaplatz,Bst.12,036,Wil. Neersen A. Schloss,17:46,17:46,0.0,True
53e568f9-f960-5f0d-9927-838c8a518fa3,MG Hbf /Europaplatz,4,008,MG Nordpark Busbhf.,17:46,17:47,1.0,True
1ad04ba2-5579-56d8-89ed-14e48b48b379,MG Hbf /Europaplatz,Bst.1,017,Mönchengl. Am Brückensteg,17:47,17:47,0.0,True
86501c0d-6a29-5988-baa0-8de2db8af697,MG Hbf /Europaplatz,8,009,Mönchengl. Landscheidung,17:47,17:47,0.0,True
e5a24758-3cc8-516f-a780-6e207fee61ca,MG Hbf /Europaplatz,Bst.12,025,MG Flughafen Terminal,17:48,17:48,0.0,True
7dcd3aa7-100b-59f8-b3b6-d7e242a8462d,MG Hbf /Europaplatz,9,097,Jüchen Schulzentrum,17:48,17:48,0.0,True
907f068d-e26c-58aa-b273-440891416259,MG Hbf /Europaplatz,5,006,Mönchengladbach Wanlo Markt,17:48,17:48,0.0,True
02553d49-8d56-5088-8145-db5610f5866b,MG Hbf /Europaplatz,Bst.1,010,Neuwerk Ver.-Stelle,17:50,17:50,0.0,True
4fc7d66a-eb5f-50b4-addd-a1ae3bb9a952,MG Hbf /Europaplatz,6,029,Korschenbroich Bf,17:50,,,True
b9254e5b-3561-5a43-bce9-25fd6b08ed27,MG Hbf /Europaplatz,Bst.8,036,Hügelstraße,17:50,17:50,0.0,True
b2cd4847-40cf-571a-8df3-9427e86100c9,MG Hbf /Europaplatz,5,RE4,"Aachen, Hbf",17:50,18:00,10.0,True
903e78a7-d4b0-5c3b-ad73-b5dcbd1440db,MG Hbf /Europaplatz,Bst.3,033,Mönchengl. Breiter Graben,17:51,,,True
e83abb21-5f2d-5c26-a006-fe9b41df87f9,MG Hbf /Europaplatz,Bst. 9,025,Hilderather Str.,17:52,17:52,0.0,True
68861e1a-f51c-5d08-b0ce-a39b619d5963,MG Hbf /Europaplatz,Bst.2,003,Mönchengl. Lockhütte,17:52,17:53,1.0,True
ac62d2cd-9357-5686-8c7e-5927983a0993,MG Hbf /Europaplatz,4,017,Hilderather Str.,17:53,17:53,0.0,True
15c5bc56-01d8-5208-a251-778431d74d28,MG Hbf /Europaplatz,7,023,MG Hardt Gewerbegebiet,17:53,17:53,0.0,True
e58f7064-fe36-5be1-b784-e8bcb396bedd,MG Hbf /Europaplatz,Bst.1,007,Viersen Heimer,17:53,17:53,0.0,True
18d630d6-8e53-5ffc-954c-24a535354619,MG Hbf /Europaplatz,9,S8,Hagen Hbf,17:54,17:54,0.0,True
581739e0-2cca-5f14-b432-1deaa11018f9,MG Hbf /Europaplatz,7,019,Grefrath Am Kreuz,17:54,18:00,6.0,True
8257c9c7-ebfc-5804-ad46-31ad3fd6ca1e,MG Hbf /Europaplatz,3,002,MG Regiopark 3,17:55,17:55,0.0,True
b1e498c6-798f-5063-be6f-2e8200f13c8c,MG Hbf /Europaplatz,4,007,Mönchengl. Hamburgring 3,17:55,17:55,0.0,True
0a5716bb-907a-5952-b9f5-1b207996e218,MG Hbf /Europaplatz,Bst.1,017,Mönchengladbach Voltastraße,17:57,18:04,7.0,True
abd18738-27b8-5b8e-9f8f-636d06ca6e11,MG Hbf /Europaplatz,3,010,Mönchengladbach Hamern,17:57,17:57,0.0,True
27e84f21-39a1-5393-ba88-62ecf0084425,MG Hbf /Europaplatz,Bst.2,002,Mönchengl. Am Hommelsbach,17:58,17:58,0.0,True
9557f93e-8adf-5cc3-8be4-b50c76f74781,MG Hbf /Europaplatz,8,019,Mönch. Elisabeth-Krankenhaus,17:59,17:59,0.0,True
0518beed-cad0-5e0f-94a4-e2ed3c4431b6,MG Hbf /Europaplatz,Bst. 9,005,Mönchengl Franziskanerstraße,18:00,18:00,0.0,True
e0097c77-0b37-5cc8-94cd-a0f3cac7bf35,MG Hbf /Europaplatz,Bst.1,008,MG Rheydt Hbf,18:00,18:01,1.0,True
763d05b5-48b0-57ab-86d2-1879bc117d9d,MG Hbf /Europaplatz,10,SB4,Mönchengl. Nellessenweg,18:01,18:01,0.0,True
c9b13c63-26d9-56a4-834e-0f2cbb63ee7a,MG Hbf /Europaplatz,3,003,Mönchengl Thomas-Mann-Str.,18:01,18:01,0.0,True
138ddcff-e031-5314-9f34-fa566e37f947,MG Hbf /Europaplatz,Bst.2,033,Mönchengl. Künkelstraße,18:02,18:02,0.0,True
1af03e8c-8cb4-5c39-907d-d5068aac1743,Wuppertal Hbf,4,628,Wuppertal Sedanstraße,16:46,,,True
530ea919-2af9-5185-8bbe-95d12b531f1d,Wuppertal Hbf,5,S8,Wuppertal Oberbarmen,17:43,17:44,1.0,True
35bffda7-8765-54a2-a561-7a6752455281,Wuppertal Hbf,4,611,Wuppertal Lenneper Straße,17:44,17:44,0.0,True
43c36ab9-a266-5a76-968a-f557d1cf6084,Wuppertal Hbf,2,IC 2043 InterCity,Bielefeld Hbf,17:44,17:44,0.0,True
ccbc68cf-fe89-55b1-a82a-8ac13dd68b32,Wuppertal Hbf,5,601,Wuppertal Wieden Schleife,17:44,17:44,0.0,True
8ce0e818-26ab-5372-9e38-319bad75b0bc,Wuppertal Hbf,,,W-Vohwinkel Schwebebahn,17:45,,,True
89e1e1c8-672e-5e40-8c61-a8833827c7c4,Wuppertal Hbf,1,643,Wuppertal Kirchliche Hochsch.,17:45,17:45,0.0,True
8ce0e818-26ab-5372-9e38-319bad75b0bc,Wuppertal Hbf,,,W-Oberbarmen Bf,17:45,,,True
fdc0b829-89fa-56f4-8e69-09198a000716,Wuppertal Hbf,2,620,Wuppertal Kuckelsberg,17:46,17:46,0.0,True
