uuid,stop,platform,line,direction,scheduled_departure,real_departure,delay_min,connection_exists
65a4b20b-b7f9-51a8-953e-e5327b8e56e6,Duisburg Hbf,13,ICE 645 InterCityExpress,S Ostbahnhof (Berlin),19:10,,,True
9d81fb41-cd4d-5eda-b183-7e42775485b2,Duisburg Hbf,4,ICE 1021 InterCityExpress,Nürnberg Hbf,19:13,19:15,2.0,True
70be7204-1881-55ff-90fa-e6e6b6c0fa16,Duisburg Hbf,11,ICE 118 Bodensee,Münster (Westf) Hbf,19:15,19:15,0.0,True
ac6b03e4-fa1f-5cd1-973f-4cbf9f36ee8c,Wuppertal Hbf,1,ICE 615 InterCityExpress,München Hbf,19:15,19:15,0.0,True
9c79190d-051f-5e8f-b849-9d20312d1221,Bochum Hbf,6,ICE 624 InterCityExpress,Dortmund Hbf,19:14,19:43,29.0,True
e51649a1-d3cc-594c-9ec3-2cfd0305741b,Düsseldorf Hbf,15,ICE 821 InterCityExpress,München Hbf,19:07,19:08,1.0,True
d896552d-927b-5994-9b6c-7c5fcd54c5fa,Düsseldorf Hbf,15,ICE 546 InterCityExpress,Köln Hbf,19:12,,,True
4566c53f-9729-534a-a725-6f25db91dc33,Duisburg Hbf,13,ICE 914 InterCityExpress,Dortmund Hbf,19:28,19:34,6.0,True
a79c3835-ed34-5210-aac8-f03af11fc701,MG Hbf /Europaplatz,3,ICE 252 InterCityExpress,Amsterdam Centraal,19:30,19:33,3.0,True
5558f384-262c-59f0-81bb-0f25daf7b8b0,Bochum Hbf,5,ICE 645 InterCityExpress,S Ostbahnhof (Berlin),19:33,,,True
036c9dff-bd41-5710-9ed8-728bea3cafaf,Essen Hauptbahnhof,6,ICE 645 InterCityExpress,S Ostbahnhof (Berlin),19:22,,,True
f1682c1d-80b4-52b8-83af-600399a9275f,Düsseldorf Hbf,18,ICE 914 InterCityExpress,Dortmund Hbf,19:14,19:21,7.0,True
a3714ab5-1188-5708-ae1e-c271a94ef567,Wuppertal Hbf,1,ICE 856 InterCityExpress,Köln Hbf,19:43,,,True
fae3d9da-4cb9-56c4-87df-2334c770342c,Dortmund Hbf,10,ICE 645 InterCityExpress,S Ostbahnhof (Berlin),19:47,,,True
cfeafd01-399d-5f0c-a8d1-2d31c8b4e973,Essen Hauptbahnhof,2,ICE 823 InterCityExpress,Frankfurt (Main) Hauptbahnhof,19:39,19:40,1.0,True
29607b42-9ff8-5d2b-9b9f-2ee4953eea1e,Düsseldorf Hbf,16,ICE 1021 InterCityExpress,Nürnberg Hbf,19:27,19:27,0.0,True
ce1678b6-4a1b-5aa3-9e6d-a8c05f1e1d8e,Düsseldorf Hbf,17,ICE 104 InterCityExpress,Hamburg Altona,19:34,19:41,7.0,True
86a88034-5bbc-521f-8549-3a5816e41be8,Duisburg Hbf,12,ICE 104 InterCityExpress,Hamburg Altona,19:47,19:54,7,True
4f757ce9-6141-5b87-b4ee-475a1440ccd5,Duisburg Hbf,13,ICE 622 InterCityExpress,Dortmund Hbf,19:51,20:16,25,True
e69fc810-2d7f-59dd-951c-17f7a71fe06a,Bochum Hbf,5,ICE 914 InterCityExpress,Dortmund Hbf,19:51,20:02,11,True
8b308207-1b94-5366-947a-61c46598bad2,Essen Hauptbahnhof,6,ICE 914 InterCityExpress,Dortmund Hbf,19:42,19:53,11.0,True
aec1a79a-a256-5aa9-8ee2-558208e2a204,Düsseldorf Hbf,18,ICE 622 InterCityExpress,Dortmund Hbf,19:38,20:09,31.0,True
501d2fbe-8e74-5dea-8c24-60a2f6fa58b5,Duisburg Hbf,4,ICE 823 InterCityExpress,Frankfurt (Main) Hauptbahnhof,19:53,19:55,2.0,True
8e4af63f-83dc-543c-bb75-bb0b45320079,Düsseldorf Hbf,17,ICE 947 InterCityExpress,S Ostbahnhof (Berlin),19:50,,,True
e99aefff-7407-5618-a1c6-858461db0b63,Duisburg Hbf,13,ICE 947 InterCityExpress,S Ostbahnhof (Berlin),20:09,,,True
2d00b3df-ea44-5143-9370-816cde6bcbc1,Bochum Hbf,6,ICE 622 InterCityExpress,Dortmund Hbf,20:14,20:50,36.0,True
b9b83758-1682-599d-be6f-84cac4e8c809,Dortmund Hbf,16,ICE 544 InterCityExpress,Köln Hbf,20:14,,,True
b88b0893-2045-5700-a75c-ad86cdd790bf,Essen Hauptbahnhof,4,ICE 622 InterCityExpress,Dortmund Hbf,20:04,20:40,36.0,True
f694df0a-1b0a-57f8-9dee-e55a3377e54e,Essen Hauptbahnhof,4,ICE 104 InterCityExpress,Hamburg Altona,20:04,20:05,1.0,True
2c7a4e2f-4764-5b9f-8421-13765422d59f,Düsseldorf Hbf,18,ICE 114 WÃ¶rthersee,Dortmund Hbf,19:57,20:31,34.0,True
c50ce78e-4bdc-5e05-a0bf-25cf082365e4,Duisburg Hbf,11,ICE 114 WÃ¶rthersee,Dortmund Hbf,20:17,20:44,27.0,True
7eb4fc1f-5866-5766-b660-3f0a28421fe2,Wuppertal Hbf,1,ICE 205 InterCityExpress,Karlsruhe Hauptbahnhof,20:15,21:00,45.0,True
6d45bcee-103e-5cea-9e52-11c010ad608d,Wuppertal Hbf,2,ICE 957 InterCityExpress,S Ostbahnhof (Berlin),20:16,,,True
9e30a510-cfba-5319-b672-9c3c3bf5c689,Bochum Hbf,3,ICE 544 InterCityExpress,Köln Hbf,20:25,,,True
e91ee825-0b62-56d9-a0e2-7bb90ca1be7b,Bochum Hbf,5,ICE 947 InterCityExpress,S Ostbahnhof (Berlin),20:32,,,True
58f435ed-1c60-5cdf-835a-c63d6ed20916,Essen Hauptbahnhof,6,ICE 947 InterCityExpress,S Ostbahnhof (Berlin),20:21,,,True
27d37bc9-4e37-5aba-9242-4e4d1b4b2cf5,Düsseldorf Hbf,15,ICE 823 InterCityExpress,Frankfurt (Main) Hauptbahnhof,20:07,20:12,5.0,True
8a4fe5c4-02bd-5fd8-b531-7bbe9308880e,MG Hbf /Europaplatz,1,ICE 251 ICE International,Frankfurt (Main) Hauptbahnhof,20:34,20:34,0.0,True
5db18950-ae6a-50de-8ef5-6cb8d86996dc,Dortmund Hbf,10,ICE 947 InterCityExpress,S Ostbahnhof (Berlin),20:45,,,True
29887019-8e4b-5852-821f-17020e2813eb,Wuppertal Hbf,2,ICE 514 InterCityExpress,Hamburg Altona,20:44,21:35,51.0,True
